case_name,article,violation_label,avg_rating,is_accurate,num_abstentions,num_samples,sample_ratings,item_id,respondent,group,decision_date,importance
CASE OF MICHAUD v. FRANCE,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-115377,FRANCE,,2012-12-06,1
CASE OF MURTIĆ AND ĆERIMOVIĆ v. BOSNIA AND HERZEGOVINA,6,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-111518,BOSNIA AND HERZEGOVINA,,2012-06-19,4
CASE OF HATİCE DUMAN v. TURKEY,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110936,TURKEY,,2012-05-22,4
CASE OF I.G. AND OTHERS v. SLOVAKIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114514,SLOVAKIA,,2012-11-13,3
CASE OF DADIANI AND MACHABELI v. GEORGIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-111419,GEORGIA,,2012-06-12,4
CASE OF EPNERS-GEFNERS v. LATVIA,8,no_violation,1.8,False,0,5,"[1, 5, 1, 1, 1]",001-110942,LATVIA,,2012-05-29,3
CASE OF PAWEŁ PAWLAK v. POLAND,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114085,POLAND,,2012-10-30,4
CASE OF STANDARD VERLAGS GMBH v. AUSTRIA (No. 3),10,violation,3.4,False,0,5,"[5, 1, 1, 5, 5]",001-108433,AUSTRIA,,2012-01-10,3
CASE OF TONOV AND OTHERS v. BULGARIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114096,BULGARIA,,2012-10-30,4
CASE OF VIKULOV AND OTHERS  v. LATVIA,3,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-113432,LATVIA,,2012-09-25,4
CASE OF TELEGRAAF MEDIA NEDERLAND LANDELIJKE MEDIA B.V. AND OTHERS v. THE NETHERLANDS,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114439,NETHERLANDS,,2012-11-22,3
CASE OF BOULOIS v. LUXEMBOURG,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-110164,LUXEMBOURG,,2012-04-03,1
CASE OF SARKIZOV AND OTHERS v. BULGARIA,P4-2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110486,BULGARIA,,2012-04-17,4
CASE OF MANUSHAQE PUTO AND OTHERS v. ALBANIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-112529,ALBANIA,,2012-07-31,3
CASE OF CATAN AND OTHERS v. THE REPUBLIC OF MOLDOVA AND RUSSIA,P1-2,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-114082,REPUBLIC OF MOLDOVA AND RUSSIA,,2012-10-19,1
CASE OF MITKUS v. LATVIA,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-113648,LATVIA,,2012-10-02,3
"CASE OF ALIŠIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA, CROATIA, SERBIA, SLOVENIA AND ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-114243,"BOSNIA AND HERZEGOVINA, CROATIA, SERBIA, SLOVENIA AND ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA",,2012-11-06,3
CASE OF F.N. AND OTHERS v. SWEDEN,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-115396,SWEDEN,,2012-12-18,4
CASE OF USTYANTSEV v. UKRAINE,34,no_violation,4.2,True,0,5,"[2, 4, 5, 5, 5]",001-108580,UKRAINE,,2012-01-12,3
CASE OF HRISTOZOV AND OTHERS v. BULGARIA ,2,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-114492,BULGARIA,,2012-11-13,1
CASE OF BAJSULTANOV v. AUSTRIA,3,no_violation,3.6,True,0,5,"[4, 1, 4, 5, 4]",001-111429,AUSTRIA,,2012-06-12,3
CASE OF GAS AND DUBOIS v. FRANCE,14,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-109572,FRANCE,,2012-03-15,1
CASE OF KHONIAKINA v. GEORGIA,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-111521,GEORGIA,,2012-06-19,3
CASE OF KESKINEN AND VELJEKSET KESKINEN OY v. FINLAND,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-111175,FINLAND,,2012-06-05,3
CASE OF X v. FINLAND,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-111938,FINLAND,,2012-07-03,1
CASE OF HARDY AND MAILE v. THE UNITED KINGDOM,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-109072,UNITED KINGDOM,,2012-02-14,3
CASE OF H. v. FINLAND,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-114486,FINLAND,,2012-11-13,3
CASE OF KAPERZYNSKI v. POLAND,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-110171,POLAND,,2012-04-03,3
CASE OF BALOGUN v. THE UNITED KINGDOM,8,no_violation,4.8,True,0,5,"[5, 5, 4, 5, 5]",001-110271,UNITED KINGDOM,,2012-04-10,4
CASE OF SOLOMAKHIN v. UKRAINE,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-109565,UKRAINE,,2012-03-15,3
CASE OF ALEKSEJEVA  v. LATVIA,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-111902,LATVIA,,2012-07-03,3
CASE OF VIDGEN v. THE NETHERLANDS,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-112102,NETHERLANDS,,2012-07-10,3
CASE OF J.M. v. DENMARK,5,no_violation,4.6,True,0,5,"[5, 5, 4, 4, 5]",001-114485,DENMARK,,2012-11-13,4
CASE OF BOUKROUROU AND OTHERS v. FRANCE,2,no_violation,1.8,False,0,5,"[1, 1, 5, 1, 1]",001-178921,FRANCE,,2017-11-16,3
CASE OF EGILL EINARSSON v. ICELAND,41,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-178362,ICELAND,,2017-11-07,3
CASE OF MAŽUKNA v. LITHUANIA,3,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-172656,LITHUANIA,,2017-04-11,4
CASE OF HAARDE v. ICELAND,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-178700,ICELAND,,2017-11-23,3
CASE OF TURAL HAJIBEYLI v. AZERBAIJAN,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-177124,AZERBAIJAN,,2017-09-28,4
CASE OF THUO v. CYPRUS,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172459,CYPRUS,,2017-04-04,4
CASE OF STRAND LOBBEN AND OTHERS v. NORWAY,8,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-178877,NORWAY,,2017-11-30,3
CASE OF KUC v. SLOVAKIA,5,violation,4.2,False,0,5,"[2, 5, 5, 4, 5]",001-175645,SLOVAKIA,,2017-07-25,4
CASE OF TRAUSTASON AND OTHERS v. ICELAND,10,violation,1.8,True,0,5,"[1, 1, 1, 1, 5]",001-173369,ICELAND,,2017-05-04,4
CASE OF BRENNAN v. IRELAND,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-178182,IRELAND,,2017-11-02,4
CASE OF ĐUKOVIĆ v. MONTENEGRO,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-174389,MONTENEGRO,,2017-06-13,4
CASE OF X v. SWITZERLAND,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-170467,SWITZERLAND,,2017-01-26,4
CASE OF BRAGA v. THE REPUBLIC OF MOLDOVA AND RUSSIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-177650,REPUBLIC OF MOLDOVA AND RUSSIA,,2017-10-17,4
CASE OF OZOLS v. LATVIA,6,no_violation,4.0,True,0,5,"[4, 4, 4, 4, 4]",001-175155,LATVIA,,2017-07-13,4
CASE OF KOLAR v. SLOVENIA,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-177118,SLOVENIA,,2017-09-26,4
CASE OF AHMED v. THE UNITED KINGDOM,34,no_violation,1.8,False,0,5,"[5, 1, 1, 1, 1]",001-171507,UNITED KINGDOM,,2017-03-02,4
CASE OF EZGETA v. CROATIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-176969,CROATIA,,2017-09-07,4
CASE OF BOUKROUROU AND OTHERS v. FRANCE,3,violation,1.8,True,0,5,"[1, 1, 5, 1, 1]",001-178921,FRANCE,,2017-11-16,3
CASE OF M.O. v. SWITZERLAND,3,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-174424,SWITZERLAND,,2017-06-20,4
CASE OF SVORCAN v. MONTENEGRO,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-174386,MONTENEGRO,,2017-06-13,4
CASE OF BABAK HASANOV v. AZERBAIJAN,11,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-171489,AZERBAIJAN,,2017-02-16,4
CASE OF STANDARD VERLAGSGESELLSCHAFT MBH v. AUSTRIA,10,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-178701,AUSTRIA,,2017-11-23,4
CASE OF LEUSKA AND OTHERS v. ESTONIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-178352,ESTONIA,,2017-11-07,4
CASE OF KOPRIVNIKAR v. SLOVENIA,41,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-170456,SLOVENIA,,2017-01-24,3
CASE OF VUČINIĆ v. MONTENEGRO,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-176765,MONTENEGRO,,2017-09-05,4
CASE OF ARNARSON v. ICELAND,10,no_violation,4.8,True,0,5,"[5, 5, 4, 5, 5]",001-174404,ICELAND,,2017-06-13,4
CASE OF CELA AND OTHERS v. GREECE,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172855,GREECE,,2017-04-20,4
CASE OF GOLDNAGL v. AUSTRIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-176964,AUSTRIA,,2017-09-07,4
CASE OF M v. THE NETHERLANDS,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-175667,NETHERLANDS,,2017-07-25,1
CASE OF KRUNOSLAVA ZOVKO v. CROATIA,6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-173624,CROATIA,,2017-05-23,4
CASE OF KOVIĆ AND OTHERS v. SERBIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172463,SERBIA,,2017-04-04,4
CASE OF VARDANEAN v. THE REPUBLIC OF MOLDOVA AND RUSSIA,34,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-173802,REPUBLIC OF MOLDOVA AND RUSSIA,,2017-05-30,4
CASE OF FORTUNSKIY v. UKRAINE,34,no_violation,3.0,False,0,5,"[2, 4, 4, 4, 1]",001-170648,UKRAINE,,2017-02-02,4
"CASE OF PETROVIĆ v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-174814,NORTH MACEDONIA,,2017-06-22,4
"CASE OF TOLESKI v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",P1-1,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-174413,NORTH MACEDONIA,,2017-06-15,4
CASE OF ALBERTINA CARVALHO E FILHOS LDA v. PORTUGAL,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-174997,PORTUGAL,,2017-07-04,4
CASE OF MAGÁT v. SLOVAKIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-175658,SLOVAKIA,,2017-07-25,4
CASE OF POROWSKI v. POLAND,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172100,POLAND,,2017-03-21,4
CASE OF VILENCHIK v. UKRAINE,8,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-177228,UKRAINE,,2017-10-03,4
CASE OF ANTOVIĆ AND MIRKOVIĆ v. MONTENEGRO,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-178904,MONTENEGRO,,2017-11-28,3
CASE OF MOREIRA FERREIRA v. PORTUGAL (No. 2),6,no_violation,4.2,True,0,5,"[5, 1, 5, 5, 5]",001-175646,PORTUGAL,,2017-07-11,1
CASE OF KEMAL COŞKUN v. TURKEY,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172317,TURKEY,,2017-03-28,4
CASE OF ZDJELAR AND OTHERS v. CROATIA,2,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-174965,CROATIA,,2017-07-06,4
CASE OF MIVES DOO v. SERBIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-170040,SERBIA,,2017-01-10,4
CASE OF ILIAS AND AHMED v. HUNGARY,13,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-172091,HUNGARY,,2017-03-14,3
CASE OF BAYRAMLI v. AZERBAIJAN,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-171486,AZERBAIJAN,,2017-02-16,4
CASE OF ALKOVIĆ v. MONTENEGRO,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-179216,MONTENEGRO,,2017-12-05,3
CASE OF VAN WESENBEECK v. BELGIUM,6,no_violation,2.6,False,0,5,"[5, 1, 5, 1, 1]",001-174119,BELGIUM,,2017-05-23,3
"CASE OF CENTRE FOR THE DEVELOPMENT OF ANALYTICAL PSYCHOLOGY v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-174414,NORTH MACEDONIA,,2017-06-15,4
CASE OF ASATRYAN v. ARMENIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-173089,ARMENIA,,2017-04-27,4
CASE OF GÜZELYURTLU AND OTHERS v. CYPRUS AND TURKEY,2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-172460,CYPRUS AND TURKEY,,2017-04-04,2
CASE OF SALIJA v. SWITZERLAND,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-170050,SWITZERLAND,,2017-01-10,4
CASE OF NIKOLIĆ AND OTHERS v. SERBIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-170451,SERBIA,,2017-01-24,4
CASE OF ĻUTOVA v. LATVIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-178372,LATVIA,,2017-11-09,4
CASE OF JÓHANNESSON AND OTHERS v. ICELAND,P7-4,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-173498,ICELAND,,2017-05-18,4
CASE OF EROL v. GERMANY,5,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-176838,GERMANY,,2017-09-07,4
CASE OF TALPIS v. ITALY,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-171994,ITALY,,2017-03-02,3
CASE OF PODESCHI v. SAN MARINO,3,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-172665,SAN MARINO,,2017-04-13,3
CASE OF PODESCHI v. SAN MARINO,5,no_violation,4.2,True,0,5,"[5, 4, 4, 4, 4]",001-172665,SAN MARINO,,2017-04-13,3
CASE OF KRASNIQI v. AUSTRIA,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-173103,AUSTRIA,,2017-04-25,4
CASE OF INDEPENDENT NEWSPAPERS (IRELAND) LIMITED v. IRELAND,10,violation,2.6,True,0,5,"[5, 1, 1, 5, 1]",001-174419,IRELAND,,2017-06-15,3
CASE OF SATAKUNNAN MARKKINAPÖRSSI OY AND SATAMEDIA OY v. FINLAND,10,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-175121,FINLAND,,2017-06-27,1
CASE OF BECKER v. NORWAY,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-177349,NORWAY,,2017-10-05,1
CASE OF M.L. v. NORWAY,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-177080,NORWAY,,2017-09-07,4
CASE OF STAMOVA v. BULGARIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-170361,BULGARIA,,2017-01-19,4
CASE OF SOMMER v. GERMANY,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-173091,GERMANY,,2017-04-27,4
CASE OF TSARTSIDZE AND OTHERS v. GEORGIA,9,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-170349,GEORGIA,,2017-01-17,4
CASE OF TSYOGE FON MANTEYFEL v. UKRAINE,34,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-229927,UKRAINE,,2024-01-11,4
CASE OF MELANDRI v. SAN MARINO,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-235896,SAN MARINO,,2024-09-12,4
CASE OF L.B. v. SLOVAKIA,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-235692,SLOVAKIA,,2024-09-12,4
CASE OF A.I. AND OTHERS v. GREECE,3,violation,1.4,True,0,5,"[2, 1, 1, 1, 2]",001-230271,GREECE,,2024-01-18,4
CASE OF SACHARUK v. LITHUANIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233215,LITHUANIA,,2024-04-23,3
CASE OF KASIM ÖZDEMİR AND MEHMET ÖZDEMİR v. TÜRKİYE,3,no_violation,1.8,False,0,5,"[1, 4, 1, 1, 2]",001-238269,TURKEY,,2024-12-03,3
CASE OF VLAHOVIĆ v. MONTENEGRO,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-231088,MONTENEGRO,,2024-02-22,4
CASE OF VEREIN KLIMASENIORINNEN SCHWEIZ AND OTHERS v. SWITZERLAND,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233206,SWITZERLAND,,2024-04-09,1
CASE OF WA BAILE v. SWITZERLAND,14,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-231331,SWITZERLAND,,2024-02-20,3
CASE OF H.T. v. GERMANY AND GREECE,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237290,GERMANY AND GREECE,,2024-10-15,3
CASE OF VOTTA RONZA v. ITALY,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237960,ITALY,,2024-11-14,4
CASE OF ZDJELAR v. CROATIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237435,CROATIA,,2024-10-22,4
CASE OF T.V. v. CROATIA,2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-234129,CROATIA,,2024-06-11,3
CASE OF TRETYAKOV AND OTHERS v. RUSSIA,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-231871,RUSSIA,,2024-04-04,4
CASE OF LYPOVCHENKO AND HALABUDENCO v. THE REPUBLIC OF MOLDOVA AND RUSSIA,34,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-231078,REPUBLIC OF MOLDOVA AND RUSSIA,,2024-02-20,3
CASE OF A.D. AND OTHERS v. SWEDEN,3,no_violation,4.8,True,0,5,"[4, 5, 5, 5, 5]",001-233495,SWEDEN,,2024-05-07,4
CASE OF COSOVAN v. THE REPUBLIC OF MOLDOVA (No. 2),6,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-236132,MOLDOVA,,2024-10-08,3
CASE OF PASQUINELLI AND OTHERS v. SAN MARINO,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-235475,SAN MARINO,,2024-08-29,1
CASE OF A.P. v. ARMENIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-234259,ARMENIA,,2024-06-18,3
CASE OF SHYLINA v. UKRAINE,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-230878,UKRAINE,,2024-02-15,3
CASE OF H.T. v. GERMANY AND GREECE,5,no_violation,2.8,False,0,5,"[2, 4, 2, 4, 2]",001-237290,GERMANY AND GREECE,,2024-10-15,3
CASE OF DOMENJOUD v. FRANCE,P4-2,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-233937,FRANCE,,2024-05-16,1
CASE OF JELLA AND OTHERS v. ALBANIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-231333,ALBANIA,,2024-03-05,4
CASE OF BERNOTAS v. LITHUANIA,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-230627,LITHUANIA,,2024-01-30,3
CASE OF WINTHER v. DENMARK,8,no_violation,4.8,True,0,5,"[5, 5, 5, 5, 4]",001-237954,DENMARK,,2024-11-12,4
"CASE OF RYBÁŘSTVÍ TŘEBOŇ A.S. AND RYBÁŘSTVÍ TŘEBOŇ HLD. A.S. v. THE CZECH REPUBLIC

v. THE CZECH REPUBLIC
",P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-237808,CZECH REPUBLIC,,2024-11-07,3
CASE OF SZUSTAK AND OTHERS v. POLAND,13,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-230739,POLAND,,2024-02-08,4
CASE OF THE J. PAUL GETTY TRUST AND OTHERS v. ITALY,P1-1,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-233381,ITALY,,2024-05-02,1
CASE OF CARRETO RIBEIRO v. PORTUGAL,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233231,PORTUGAL,,2024-04-25,4
CASE OF SPAHIU AND OTHERS v. ALBANIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-235034,ALBANIA,,2024-07-18,4
CASE OF MUKHTARLI v. AZERBAIJAN AND GEORGIA,5,no_violation,1.0,False,0,5,"[1, 1, 1, 1, 1]",001-235491,AZERBAIJAN AND GEORGIA,,2024-09-05,3
CASE OF TAGANOVA AND OTHERS v. GEORGIA AND RUSSIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238515,GEORGIA AND RUSSIA,,2024-12-17,3
CASE OF ZAVRIDOU v. CYPRUS,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-236179,CYPRUS,,2024-10-08,4
CASE OF BAKRADZE v. GEORGIA,14,violation,5.0,False,0,5,"[5, 5, 5, 5, 5]",001-237811,GEORGIA,,2024-11-07,3
CASE OF MIRZOYAN v. THE CZECH REPUBLIC,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-233686,CZECH REPUBLIC,,2024-05-16,3
CASE OF LYPOVCHENKO AND HALABUDENCO v. THE REPUBLIC OF MOLDOVA AND RUSSIA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-231078,REPUBLIC OF MOLDOVA AND RUSSIA,,2024-02-20,3
CASE OF OGHLISHVILI v. GEORGIA,2,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-234522,GEORGIA,,2024-07-04,3
CASE OF DIAS DOS SANTOS FERREIRA DA COSTA CABRAL v. PORTUGAL,10,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233378,PORTUGAL,,2024-04-30,4
CASE OF TSYOGE FON MANTEYFEL v. UKRAINE,38,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-229927,UKRAINE,,2024-01-11,4
CASE OF TAGANOVA AND OTHERS v. GEORGIA AND RUSSIA,6,no_violation,1.6,False,0,5,"[1, 4, 1, 1, 1]",001-238515,GEORGIA AND RUSSIA,,2024-12-17,3
CASE OF DIMOVIĆ AND OTHERS v. SERBIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-238009,SERBIA,,2024-11-19,4
CASE OF SAAKASHVILI v. GEORGIA,6,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-233761,GEORGIA,,2024-05-23,3
CASE OF B.A. v. CYPRUS,5,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-234516,CYPRUS,,2024-07-02,3
CASE OF MUKHTARLI v. AZERBAIJAN AND GEORGIA,8,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-235491,AZERBAIJAN AND GEORGIA,,2024-09-05,3
CASE OF BIELAU v. AUSTRIA,10,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-235470,AUSTRIA,,2024-08-27,3
CASE OF EXECUTIEF VAN DE MOSLIMS VAN BELGIË AND OTHERS v. BELGIUM,9,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-231227,BELGIUM,,2024-02-13,1
CASE OF S.F. v. FINLAND,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-236140,FINLAND,,2024-10-08,4
CASE OF M.B. v. THE NETHERLANDS,5,violation,2.0,True,0,5,"[2, 1, 1, 1, 5]",001-233213,NETHERLANDS,,2024-04-23,3
CASE OF KOWALIK v. POLAND,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-230729,POLAND,,2024-02-08,4
CASE OF GIANNAKOPOULOS v. GREECE,8,no_violation,5.0,True,0,5,"[5, 5, 5, 5, 5]",001-238270,GREECE,,2024-12-03,3
CASE OF PASQUARIELLO v. ITALY,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233652,ITALY,,2024-05-16,4
CASE OF LEVANOV AND OTHERS v. RUSSIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233236,RUSSIA,,2024-04-25,4
CASE OF GUÐMUNDUR GUNNARSSON AND MAGNÚS DAVÍÐ NORÐDAHL v. ICELAND,P1-3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233111,ICELAND,,2024-04-16,3
CASE OF MAĻINOVSKIS v. LATVIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-234008,LATVIA,,2024-06-06,4
CASE OF TSAAVA AND OTHERS v. GEORGIA,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-233412,GEORGIA,,2024-05-07,4
CASE OF AL-HABEEB v. DENMARK,8,no_violation,4.8,True,0,5,"[5, 5, 5, 4, 5]",001-237959,DENMARK,,2024-11-12,3
CASE OF KOWALSKI v. POLAND,6,violation,3.0,False,5,5,"[3, 3, 3, 3, 3]",001-230725,POLAND,,2024-02-08,4
CASE OF SOUROULLAS KAY AND ZANNETTOS v. CYPRUS,6,no_violation,1.4,False,0,5,"[1, 2, 1, 1, 2]",001-238072,CYPRUS,,2024-11-26,4
CASE OF W.R. v. THE NETHERLANDS,6,no_violation,4.2,True,0,5,"[5, 2, 4, 5, 5]",001-235346,NETHERLANDS,,2024-08-27,4
CASE OF RIZZO STRIANO v. ITALY,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-230281,ITALY,,2024-01-18,4
CASE OF RIZZO AND OTHERS v. MALTA,P1-1,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-230260,MALTA,,2024-01-16,3
CASE OF DAUGAARD SORENSEN v. DENMARK,3,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237294,DENMARK,,2024-10-15,4
CASE OF ZAHARIEV v. NORTH MACEDONIA,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237797,NORTH MACEDONIA,,2024-11-05,4
CASE OF AGAYEV & ZULFUGARZADEH COMPANY v. AZERBAIJAN,6,violation,1.0,True,0,5,"[1, 1, 1, 1, 1]",001-237504,AZERBAIJAN,,2024-10-24,4
